Date,Wind Spd, Wind Dir
2021/07/07 10:08,18.0,92
2021/07/07 10:09,18.0,92
2021/07/07 10:10,18.0,100
2021/07/07 10:11,18.0,100
2021/07/07 10:12,18.0,92
2021/07/07 10:13,18.0,93
2021/07/07 10:14,18.0,93
2021/07/07 10:15,19.0,91
2021/07/07 10:16,19.0,91
2021/07/07 10:17,19.0,92
2021/07/07 10:18,18.0,94
2021/07/07 10:19,18.0,93
2021/07/07 10:20,18.0,94
2021/07/07 10:21,18.0,96
2021/07/07 10:22,19.0,97
2021/07/07 10:23,19.0,96
2021/07/07 10:24,19.0,96
2021/07/07 10:25,19.0,96
2021/07/07 10:26,19.0,96
2021/07/07 10:27,19.0,97
2021/07/07 10:28,19.0,94
2021/07/07 10:29,18.0,95
2021/07/07 10:30,19.0,94
2021/07/07 10:31,19.0,92
2021/07/07 10:32,18.0,90
2021/07/07 10:33,18.0,90
2021/07/07 10:34,18.0,91
2021/07/07 10:35,18.0,90
2021/07/07 10:36,17.0,90
2021/07/07 10:37,18.0,90
2021/07/07 10:38,18.0,92
2021/07/07 10:39,18.0,94
2021/07/07 10:40,17.0,95
2021/07/07 10:41,16.0,96
2021/07/07 10:42,16.0,97
2021/07/07 10:43,18.0,97
2021/07/07 10:44,18.0,96
2021/07/07 10:45,18.0,96
2021/07/07 10:46,19.0,95
2021/07/07 10:47,19.0,97
2021/07/07 10:48,19.0,97
2021/07/07 10:49,19.0,95
2021/07/07 10:50,19.0,95
2021/07/07 10:51,21.0,95
2021/07/07 10:52,20.0,97
2021/07/07 10:53,18.0,103
2021/07/07 10:54,16.0,105
2021/07/07 10:55,15.0,107
2021/07/07 10:56,14.0,104
2021/07/07 10:57,12.0,112
2021/07/07 10:58,11.0,114
2021/07/07 10:59,10.0,114
2021/07/07 11:00,9.0,114
2021/07/07 11:01,8.0,94
2021/07/07 11:02,8.0,94
2021/07/07 11:03,9.0,97
2021/07/07 11:04,9.0,99
2021/07/07 11:05,10.0,101
2021/07/07 11:06,10.0,101
2021/07/07 11:07,10.0,105
